" ","StudentComments","Rating","totalwords","Sentiment"
"21607","he is a good teacher","4.29","5","positive"
"21608","he is a good teacher","2.83","5","negative"
"21609","he is a good teacher","4.56","5","positive"
"21610","he is a good teacher","4.67","5","positive"
"21611","he is a good teacher","5","5","positive"
"21612","he is an efficient teacher","4.88","5","positive"
"21613","he is borring","4.08","3","positive"
"21614","he is not a good teacher","1.96","6","negative"
"21615","he is very appropriate for us .","4.67","7","positive"
"21616","well medium","4.57","2","positive"
"21617","good","3.13","1","neutral"
"21618","he is a good teacher","2.79","5","negative"
"21619","he is a good teacher","2.83","5","negative"
"21620","he is a great teacher.","5","5","positive"
"21621","he is a very good teacher","4.5","6","positive"
"21622","he is not good.","1.67","4","negative"
"21623","heis a good teacher.","3.58","4","positive"
"21624","overall a good teacher","4.58","4","positive"
"21625","she is good teacher","5","4","positive"
"21626","shows confident in teaching. has a wide knowledge over the subject matters. encourages participation.","4.04","14","positive"
"21627","yeh is okey","4.42","3","positive"
"21628","good","5","1","positive"
"21629","he is a a very understanding and frandly teacher.","5","9","positive"
"21630","he is a good teacher. but tough for bba this subject. grading is poor.","3.71","14","positive"
"21631","he is agood teacher.","3.5","4","positive"
"21632","he is nice teacher at all.","3.79","6","positive"
"21633","he is not experienced yet to take this course","2.58","9","negative"
"21634","i think he is a good teacher. i think if he explain every topic then it will be very helpful for the student.","4.29","23","positive"
"21635","is a word.he is ga good teacher","2.92","7","negative"
"21636","nice teacher","5","2","positive"
"21637","overall sir is very supportive towards his bba student :)","4.96","10","positive"
"21638","sir, please do more curving.","5","5","positive"
"21639","u r a very good teacher","4.67","6","positive"
"21640","fine","4.58","1","positive"
"21641","good","4.96","1","positive"
"21642","good","4.96","1","positive"
"21643","he is a fabulous teacher","4.66","5","positive"
"21644","he is a good teacher","5","5","positive"
"21645","he is a good teacher","4.75","5","positive"
"21646","he is a good teacher","2.79","5","negative"
"21647","he is a good teacher.","3.47","5","neutral"
"21648","he is a very good teacher","5","6","positive"
"21649","he is good teacher","5","4","positive"
"21650","he is good teacher to all of us","4.63","8","positive"
"21651","he is very much skilled faculty.","4.5","6","positive"
"21652","his classes are very interesting","4.25","5","positive"
"21653","visual basic 6","5","3","positive"
"21654","all the best","3.87","3","positive"
"21655","good","4.38","1","positive"
"21656","good teacher","4.21","2","positive"
"21657","good teacher","3.92","2","positive"
"21658","good teacher . we should give more attention in this course other wise we will get bad grade","5","18","positive"
"21659","good teacher.","4.88","2","positive"
"21660","he is a good and skilled faculty.","4.5","7","positive"
"21661","he is a goodteacher","3.67","4","positive"
"21662","he is a very nice teacher and tries his level best to help the students.he keeps on giving the same problem untill it is clear to the students","4.83","28","positive"
"21663","he should give up his supiority complex. otherwise he's very intelligent and friendly.","5","13","positive"
"21664","no comments.","3.33","2","neutral"
"21665","presents the subject well and provides the necessary corse materials whenever needed","4.66","12","positive"
"21666","we respect our sir. he is good & friendly.","4.54","9","positive"
"21667","good","5","1","positive"
"21668","he is a good teacher","5","5","positive"
"21669","he is a good teacher.","4.88","5","positive"
"21670","he is a good teacher.","4.32","5","positive"
"21671","he is a very good teacher","5","6","positive"
"21672","he is a very sencere teacher , he helps us a iot for study.","4.17","14","positive"
"21673","ok","2.5","1","negative"
"21674","1","2","1","negative"
"21675","he has a great personality. and as a teacher he is very good.","4.65","13","positive"
"21676","he has the ability to keep the class control","3.83","9","positive"
"21677","he is a good human being","4.42","6","positive"
"21678","he is a good teacher.","5","5","positive"
"21679","he is verymuch helpfull","5","4","positive"
"21680","noor sir is a good faculty member. he is much better than some other faculty member of aiub","4.25","18","positive"
"21681","ok","5","1","positive"
"21682","very good.please sir give us more bonus","4.13","7","positive"
"21683","he is a very decent and polite teacher, very liberal in marking and he makes sure everyone understands.","4.38","18","positive"
"21684","he is a very good teacher","5","6","positive"
"21685","mr.faizul f noor is a good faculty.we are proud of having a teacher like him.","4.88","15","positive"
"21686","as a teacher he make the course easy and preferable.","5","10","positive"
"21687","he is a good teacher","5","5","positive"
"21688","nice for personality. wish the best.","4.17","6","positive"
"21689","o.k over all","2.67","3","negative"
"21690","sir is very helpful and friendly to understand lesson thanks","4.79","10","positive"
"21691","as a student, i can say that he is a good teacher. his teaching system is good. he tries to take care all the students as much as he can. i wish good luck for him. thank you.","4.63","38","positive"
"21692","good","4.79","1","positive"
"21693","he is a good teacher","2.79","5","negative"
"21694","he is a good teacher","5","5","positive"
"21695","he is a good teacser","5","5","positive"
"21696","he is a very good teacher.","4.5","6","positive"
"21697","he is gr8","4.17","3","positive"
"21698","he is nice , teaching style is nice.","5","8","positive"
"21699","he is very good teacher and as well as he is very gental person.i like him personali because he is very simple and straight forward and very sharp.thank u sir for being with us as aprogramming teacher.we like u very much.","4.67","41","positive"
"21700","he teaches us in a vey pleasent way, which enforces us to come up with the best result.","4.46","18","positive"
"21701","he is a good teacher, it will be benefitial for his students if he tries to make his classroom easier and more intersting to understand.","3.54","25","positive"
"21702","he is a verry good teacher","5","6","positive"
"21703","he is a very good teacher and lovely teacher.","4.54","9","positive"
"21704","he is frindly and good teacher","3.88","6","positive"
"21705","he is good","5","3","positive"
"21706","he is good","2.96","3","negative"
"21707","very good teacher","4.42","3","positive"
"21708","well teacher","4.88","2","positive"
"21709","he is 1 of the best teacher .","5","8","positive"
"21710","he is a good teacher","3.67","5","positive"
"21711","he is a good teacher","3.79","5","positive"
"21712","he is a good teacher.","2.92","5","negative"
"21713","he is a very good teacher.","5","6","positive"
"21714","he is excellent teacher.his teaching system is perfect for everyone.","5","10","positive"
"21715","he is good","4.83","3","positive"
"21716","he is very good teacher.","5","5","positive"
"21717","he is very hard working, that makes all his faults disappear","4.08","11","positive"
"21718","he should be more reluxed about grade.","5","7","positive"
"21719","one of the best teachers of java in aiub.","4.96","9","positive"
"21720","verry good teacher","5","3","positive"
"21721","good teacher","5","2","positive"
"21722","good teacher.knows well what he is teaching.","3.29","7","neutral"
"21723","good technique in teaching.","4.13","4","positive"
"21724","he goes fast.","4.63","3","positive"
"21725","he is a nice teacher . it would be mroe easier for us if he would give us some bonus marks as other course teachers do . and other student gettin more benifit then us afta gettin those bonus which we are not getting . and all other things are really good .","4.42","53","positive"
"21726","he is good at all aspects.","5","6","positive"
"21727","he is good teacher.","4.58","4","positive"
"21728","he is good teacher.","4.11","4","positive"
"21729","he is good teacher.","4.38","4","positive"
"21730","he is so good & well behavier","4.67","7","positive"
"21731","he is very friendly.he is good teacher.","4","7","positive"
"21732","he makes everything clear.","5","4","positive"
"21733","he's a good teacher.","4.83","4","positive"
"21734","i think he is the best techer in this university.teaching style is very nice.he teach us very nicely.","5","18","positive"
"21735","if he give good grade he will become good teacher in aiub.","3.88","12","positive"
"21736","moderate teacher","2.79","2","negative"
"21737","nice teacher","4.88","2","positive"
"21738","nothing","4.83","1","positive"
"21739","good teacher","5","2","positive"
"21740","he is a boss teacher","3.29","5","neutral"
"21741","he is a good man","2.25","5","negative"
"21742","he is a good teacer","2.79","5","negative"
"21743","he is a good teacher","4.17","5","positive"
"21744","he is a good teacher","5","5","positive"
"21745","he is a good teacher","5","5","positive"
"21746","he is a very excellent teacher.","5","6","positive"
"21747","he is a wonderfull teacher.","5","5","positive"
"21748","he is excellent teacher.","5","4","positive"
"21749","he is really an extra ordinary teacher.i'm proud of my teacher. u r really great!!!","4.38","15","positive"
"21750","he is the best teacher in aiub for java.his punchuality and honesty is best. anyone can speak one a word he is a best teacher.some times he pressure created on the student but this is help ful for student","5","39","positive"
"21751","he is very friendly and thats good for the student.student can solve her problem with no hesitation.so we need more teacher like him","5","23","positive"
"21752","nice","5","1","positive"
"21753","ok sir","5","2","positive"
"21754","a teacher whose ultimate goal is to make the student understandhis/her liston at any means.","4.83","15","positive"
"21755","good","4.79","1","positive"
"21756","good enough","5","2","positive"
"21757","he is a good teacher and he teach us friendly","2.71","10","negative"
"21758","he is a good teacher.","3.04","5","neutral"
"21759","he is a good teacher.","4.58","5","positive"
"21760","he is a good teacher.but he is very fast.","4.96","9","positive"
"21761","he is a good techer","4.46","5","positive"
"21762","he is a very good teacher. he has a wide knowledge about java. but he tries to make the subject complex.","4.17","21","positive"
"21763","he is a very very good teacher for java, infact best i think.","5","13","positive"
"21764","he is good","5","3","positive"
"21765","he is helpful and very good sir.","4.78","7","positive"
"21766","he is the best teacher for java1.","5","7","positive"
"21767","he is very good teacher","5","5","positive"
"21768","i think he is a very good teacher.","4.67","8","positive"
"21769","i think, he has a little bit lack of knowledge and i have not practice code more enough. he has low confident about himself.","1.29","24","negative"
"21770","nice teacher","5","2","positive"
"21771","not bad","4","2","positive"
"21772","sir i liked ur teaching approach.i think lot of people will be benifited by u?","5","15","positive"
"21773","we is as well as a simple person,even though in his teaching.","3.04","12","neutral"
"21774","a great teacher who drives the students magically.","5","8","positive"
"21775","good","5","1","positive"
"21776","good teacher","5","2","positive"
"21777","good teacher","5","2","positive"
"21778","he is a good teacher.","4.83","5","positive"
"21779","he is a very good teacher, can teach the subject in a easy and understandable way. really a good teacher who can explain all the things of our subjct more or less. he is one of my favourite teachers.","5","39","positive"
"21780","he is a very teacher","4.96","5","positive"
"21781","he is good teacher and his learning style is very good, i think is the good teacher in aiub","5","19","positive"
"21782","he is one of the best teacher.","2.96","7","negative"
"21783","one of the polite teacher we'h found in aiub.always smilling.i'm sure who ever get his class remain tension less.because its junaid bhai.","5","22","positive"
"21784","very confident teacher. has a commanding way of controlling things in class.","3.58","12","positive"
"21785","very good teacher","5","3","positive"
"21786","very good teacher. unfortunately his kind of teacher does not last long in our university. so, i should request him to stay and teach us some good in you.","5","29","positive"
"21787","excellent i m giving him a+","5","6","positive"
"21788","friendly teacher.","4.42","2","positive"
"21789","he is a good teacher","5","5","positive"
"21790","he is a good teacher","5","5","positive"
"21791","he is a good teacher who can sometimes get really arrogant and rude,too much strict to cope up with.","5","19","positive"
"21792","he is a good teacher.","4.71","5","positive"
"21793","he is a good teacher.","4.92","5","positive"
"21794","he is a good teacher. we expect to learn from him.","4.54","11","positive"
"21795","he is a very good teacher.and makeing us hard worker.","4.83","10","positive"
"21796","he is a very nice guy.","1.5","6","negative"
"21797","he is good teacher but his behaviour is very bad.","3.33","10","neutral"
"21798","he is very strict but a good teacher.","5","8","positive"
"21799","jahid shohel is good teacher for learning.but he should believe student more and should behave better with students.","5","18","positive"
"21800","not bad","2.13","2","negative"
"21801","ok","5","1","positive"
"21802","sir is very roud.he has no faith on his student.","5","10","positive"
"21803","you are a good teacher and teaching is very good but you are too much strict. you donot talk with us freely without our lecture topic.","5","26","positive"
"21804","although he is a good teacher but he is not a good person","4.67","13","positive"
"21805","good","5","1","positive"
"21806","goody goody gooody boy","5","4","positive"
"21807","he is a good teacher.","4.67","5","positive"
"21808","he is a nice teacher./.","5","5","positive"
"21809","he is a very good teacher, but he is very rude to us.one of his major problem is he does not believe his students.he thinks we always lie to him.thats not fair.","4.92","32","positive"
"21810","he is good for us.","5","5","positive"
"21811","he is juat as good as we need.so no advice!!!","5","10","positive"
"21812","he is not bad","5","4","positive"
"21813","he tries to finish the syllabus too quickly.","4.04","8","positive"
"21814","i think he is good teacher","3.53","6","positive"
"21815","jahid sir is one of the best faculty of aiub.its a pleasure to attend his lectures.he is a real java guru!","4.96","21","positive"
"21816","one of the finest teacher on programming languages i'h found in aiub.always clearly explains the necessary notes we need.and encourage us to do programming.hope aiub get teachers like sohelsir in pls.i'm gratefull to him that i'm learning a lot frm him.a little bit preasure he gives and that works for our fevour.he is aiub's best java teacher.thats what we think.and i hope aiub also understand our saying.","4.88","67","positive"
"21817","sir's teching style is uncomparable!! he is a very good teacher&very helpfull also.although is vey good quality i feel fear to come his class!!","4.46","24","positive"
"21818","smart and confident","5","3","positive"
"21819","u r really a good teacher and faculty as my point of view; //this is a java code for tbi import aiub.faculty.*; if(sir==active) { system.out.println(""shohel sir""); }","5","27","positive"
"21820","good","5","1","positive"
"21821","good","5","1","positive"
"21822","good teacher","5","2","positive"
"21823","he is a good teacher.","5","5","positive"
"21824","he is a very good teacher","5","6","positive"
"21825","he is a very good teacher as well as strict","4.46","10","positive"
"21826","he is a very good teacher.","5","6","positive"
"21827","he is fine teacher. his teaching is fine. but his behaviuor about student is not good. he does not believe on student. he does not give any break on 3 hour class. so he should change his behaviour.","4.28","38","positive"
"21828","he is goodddddddddd & coolllllllllllll.","4.63","5","positive"
"21829","he is really a good teacher.","4.67","6","positive"
"21830","he maintains a concrete relation with students.its not fair.","5","9","positive"
"21831","hez simply the best of the best.","4.67","7","positive"
"21832","bad teacher","1","2","negative"
"21833","good teacher","4.7","2","positive"
"21834","good teacher","2.17","2","negative"
"21835","he is a good teacher.","3.77","5","positive"
"21836","he is a good teacher.","1.29","5","negative"
"21837","he is a good teacher.","4.46","5","positive"
"21838","he is a teacher who has strict teaching policy and good personality.","4.67","12","positive"
"21839","he is a very good nd felpful teacher for the student","4.79","11","positive"
"21840","he is a very good teacher.","4.67","6","positive"
"21841","he is a very good teacher.infact i think he is the best teacher for this course. but sometimes he becomes very rude with us.which hearts very much.","5","27","positive"
"21842","he is an good teacher.","5","5","positive"
"21843","he is good but he has to more friendly with the student.","4.66","12","positive"
"21844","he's a great teacher!!!","5","4","positive"
"21845","good","5","1","positive"
"21846","he has got a good learing method","5","7","positive"
"21847","he is a bit strict but a good teacher","4.67","9","positive"
"21848","he is a good teacher","4.17","5","positive"
"21849","he is a good teacher.","4.83","5","positive"
"21850","he is a popular teacher.","4.42","5","positive"
"21851","he is a very good teacher.i love him very much.","5","10","positive"
"21852","he is an excellent teacher","5","5","positive"
"21853","he is good teacher but he needs more friendly about the student.","3.13","12","neutral"
"21854","he is superb teacher","5","4","positive"
"21855","he knows java well","3.63","4","positive"
"21856","s","3.67","1","positive"
"21857","sir is a good teacher","2.21","5","negative"
"21858","u r a very good teacher. but plz laugh in the cls otherwise u look rude. :d thank u.","4.63","19","positive"
"21859","a good teacher","4.83","3","positive"
"21860","good","2","1","negative"
"21861","good","5","1","positive"
"21862","good","5","1","positive"
"21863","good","2.5","1","negative"
"21864","good","5","1","positive"
"21865","good enough","4.88","2","positive"
"21866","he is a good teacher","4.75","5","positive"
"21867","he is a very good teacher. he is very hard worker and he try to make studen work hard.","4.96","19","positive"
"21868","he is almost good teacher","3.25","5","neutral"
"21869","he is ginious","4.83","3","positive"
"21870","he is good but quite rude.","2","6","negative"
"21871","he is good enough.","5","4","positive"
"21872","he is good teacher indeed","4.83","5","positive"
"21873","he is good. his teaching system is well","4.83","8","positive"
"21874","he is very good teacher but his teaching method is very strict.almost he is good in teaching.","5","17","positive"
"21875","sir tries to help the students with his highest ability .","4.58","11","positive"
"21876","u teach java toooooo good,make things understandable.i like you teaching style and like the pressure you give which helps to study by time!all you have spoken about life is very true,and i really like it.thank you for being a very good teacher.","5","42","positive"
"21877","well","5","1","positive"
"21878","excellent","5","1","positive"
"21879","good","5","1","positive"
"21880","good but very much fast","4.21","5","positive"
"21881","he is a good teacher","4.67","5","positive"
"21882","he is a good teacher","4.29","5","positive"
"21883","he is a good teacher","5","5","positive"
"21884","he is a good teacher!","4.79","5","positive"
"21885","he is a good teacher.","5","5","positive"
"21886","he is a good teacher.","4.79","5","positive"
"21887","he is a very good teacher for cs department.","3.25","9","neutral"
"21888","he is ok with us","4.75","5","positive"
"21889","he is very careful and sincere teacher.","5","7","positive"
"21890","he is very good teacher.","4.67","5","positive"
"21891","i think he is best for java but some time he is little hard and some time his attitude make fearfull to the weak student.","4.67","25","positive"
"21892","very good teacher","5","3","positive"
"21893","very good teacher","4.96","3","positive"
"21894","boss in java","5","3","positive"
"21895","for slow learner he is quite unreachable.he is very good for quick learner.","4.83","13","positive"
"21896","he is a good teacher.he is best","5","7","positive"
"21897","he is excellent teacher in aiub.i am enjoy his teaching.","3","10","neutral"
"21898","sir we speaks to others. we can remember some words,that words that is more important.so we should practice more and more few particular topics.we need not give up every topics with little touch.","3.7","33","positive"
"21899","good,helpful,explain clearly,very very friendly.","4.67","4","positive"
"21900","he is a very good teacher","4.83","6","positive"
"21901","he is all throw a good teacher","5","7","positive"
"21902","very good teacher","4.67","3","positive"
"21903","he is a good and hard working teacher. he tries to do everything possible to make things clear to the students.","4.71","21","positive"
"21904","he is a good teacher","5","5","positive"
"21905","he is one of the best teacher that i have ever found in my aiub life. in this course i have found practical experience of programming.","4.42","26","positive"
"21906","no comment.","3","2","neutral"
"21907","this is a vast syllabus but he is tried his best to cover this. thanks","3.04","15","neutral"
"21908","a practical teaching experiance.","4.96","4","positive"
"21909","he is a good teacher. his teaching method helps all students to improve their performance.","5","15","positive"
"21910","he is not consistant in clear discussion on particulare topic.","2.27","10","negative"
"21911","i like his teaching style very much. he knows how to keep student attentive. may allah bless him.","5","18","positive"
"21912","no commemnt","5","2","positive"
"21913","our course instructor,shakil,is very good and helpful.","5","7","positive"
"21914","comparatively he is best for java-1","4.83","6","positive"
"21915","as the syllabus is too big. i think we need 2 3hr lab class :s and more project oriented grade evluation. sir is good enough for java. :):)","5","28","positive"
"21916","east & west shakil sir is the best. aiub shd search more shakils. my best teacher in uv-life.","4.58","18","positive"
"21917","good","5","1","positive"
"21918","good","5","1","positive"
"21919","he is a very good teacher","5","6","positive"
"21920","he is very nice","4.83","4","positive"
"21921","good","5","1","positive"
"21922","good","4.83","1","positive"
"21923","he is a good teacher","3.5","5","positive"
"21924","he is very friendly, helpful. he is too much sincere about students.","5","12","positive"
"21925","we canot follow his lecture because he is so fast.","1","10","negative"
"21926","best teacher","4.83","2","positive"
"21927","excellent","5","1","positive"
"21928","good","4.83","1","positive"
"21929","good","4.56","1","positive"
"21930","he is a good teacher.","4.92","5","positive"
"21931","he is an excellent teacher.","4.08","5","positive"
"21932","he is good in teaching &well manarism","5","7","positive"
"21933","he is good teacher.he can make us easily understand. he has a good voice.","5","14","positive"
"21934","in one word he is a excellent teacher.i think now aiub needs such type of teacher.it will be my pleasure if i will do some work with him.","4.67","28","positive"
"21935","very good and friendly teacher.","5","5","positive"
"21936","good","5","1","positive"
"21937","he is very good teacher","4.83","5","positive"
"21938","nearly good","5","2","positive"
"21939","no complains","5","2","positive"
"21940","good","5","1","positive"
"21941","good","2.88","1","negative"
"21942","great teacher","4.52","2","positive"
"21943","he is a good teacher","5","5","positive"
"21944","he is a good teacher.","5","5","positive"
"21945","he is a greatest teacher that i ever seen before.","4.83","10","positive"
"21946","he is a kind of teacher who can really teach something to good and bad students.cause he takes so much care that a bad student thinks he can be like a good student.aiub needs this kind of teacher.","4.91","38","positive"
"21947","he is a very good teacher.our university need teacher like him.he is realy abest teacher in aiub.","5","17","positive"
"21948","he is an extraordinary java programmer.","5","6","positive"
"21949","he knows a lot","2.63","4","negative"
"21950","it would be better if he would show us a full example of a topic in the projector instead of showing it moving from one pc to another pc ( in this way he can't cover more than 5/6 pc ).in the last servet class he didn't show a full example in the projector rather he told us to do it. it might not be good for the weaker students","3","70","neutral"
"21951","to me ,to be honest he is the only best teacher i have seen in aiub.","5","16","positive"
"21952","very good teacher","5","3","positive"
"21953","he is good enough.","5","4","positive"
"21954","he is really a very good teacher and i think he one of the best teachers in aiub now and he is always tries to teach student of his best. i like him very much.","4.83","35","positive"
"21955","in my opinion,he is very good teacher.","5","7","positive"
"21956","no need","5","2","positive"
"21957","ok","4.41","1","positive"
"21958","he is a good teacher.","4.58","5","positive"
"21959","i think he needs to review his teaching approach and he needs to concentrate more on the sudents wheather their getting things on the class or not!","5","27","positive"
"21960","jahid sir is a nice teacher but he has few problem.i think he has to be more co-oparative with student","3","20","neutral"
"21961","well","5","1","positive"
"21962","good","5","1","positive"
"21963","good but need to practice more in java-2.so get always like java-1.","4.79","12","positive"
"21964","he is a good teacher","5","5","positive"
"21965","he is as helpful as co-operative as a teacher.","4.46","9","positive"
"21966","he is one of the best teacher that i have ever found in aiub. i have found practical knowledge of programming in this course so well.","5","26","positive"
"21967","he is sencire,helpful,friendly to his students.he is the best teacher in aiub,& always try to do best for his students.sir,i respect you as the way you are.","4.54","27","positive"
"21968","no need for coments.he is a very good teacher.he always tries his best to learn us.","4.38","16","positive"
"21969","as usual","5","2","positive"
"21970","he always helps the good students, not the weak ones, we all are in great trouble.","2.08","16","negative"
"21971","he has been very helpful","5","5","positive"
"21972","he is a good teacher.","4.25","5","positive"
"21973","he is a good teacher. he takes proper care to us.","5","11","positive"
"21974","he is a very knowledgeable teacher. gives his 100% performence for the class. but he rarely smiling or nodding in the class. overall he is a good teacher.","4.47","28","positive"
"21975","he is good teacher.his learning is outstading.i like him very much because he always gives us true outlines.","4.67","18","positive"
"21976","he is not friendly with student","1","6","negative"
"21977","i have received all information.","2.42","5","negative"
"21978","we pay to learn and get assistance from teachers to help us learn our materials properly. but with teachers like mr.helal we have problems without asking questions and we also have problems if we ask questions. he is not at all a helping hand. and students in his class can hardly learn anything in clas. it is a waste of money in doing classes with teachers like him.","2.13","68","negative"
"21979","he is the best for this subject & other things.","5","10","positive"
"21980","he needs to make the subject more easy to student.","2.17","10","negative"
"21981","i cant understand p l properly","2","6","negative"
"21982","i think his teaching process is perfect.","4.88","7","positive"
"21983","i think that it is a new subject.i can not understand this subject properly.i have need a hard work to understand this subject.","2.46","23","negative"
"21984","fine","3","1","neutral"
"21985","fine in teaching","4.17","3","positive"
"21986","he is a good teacher","5","5","positive"
"21987","he is a good teacher, with proper required knowledge in his subject.but the course is very hactic for eee students due to not attending comp. fund.","4.08","26","positive"
"21988","he is a nice and handsome guy.","5","7","positive"
"21989","he is good teacher.","5","4","positive"
"21990","he is perfect teacher","4.83","4","positive"
"21991","panctual, well experienced,","5","3","positive"
"21992","sir should give much more priority to the weak students. should talk and encourage the poor students. but not discourage.","2.92","20","negative"
"21993","very considerate & affectionate","5","4","positive"
"21994","teacher","1.96","1","negative"
"21995","he is a bad teacher","1","5","negative"
"21996","he is a best teacher.","3","5","neutral"
"21997","he is a good teacher.he takes proper care to us.","4.96","10","positive"
"21998","he is a man with great experiences.","3.79","7","positive"
"21999","he is very tallentful teacher but its our fault that we cant recognize him.any how good luck to him.","3.79","19","positive"
"22000","he maintains all the characterstics of a good teacher.","4.13","9","positive"
"22001","some times some teacher are read well.not regularly.thank you","3","9","neutral"
"22002","does not help the weak students.","3.54","6","positive"
"22003","good","5","1","positive"
"22004","good","1.55","1","negative"
"22005","good","1","1","negative"
"22006","he is a good teacher.","4.67","5","positive"
"22007","he is a good teacher.","5","5","positive"
"22008","he is agood teacher","3.13","4","neutral"
"22009","he is an experienced but a looser gays. also he is a talkative person. he has no any kind of sympathy for the male student but a have love mind for the female student.","1.38","34","negative"
"22010","he is bad teacher","2.75","4","negative"
"22011","he is good teacher .he is also helpfull","5","8","positive"
"22012","he is tooooo fast for me. i can't understand is teaching process. even when i don't understand , he does not help me to overcome it. he just do his duty , but doesn't look forward to the student about their understanding. as a new subject, there is no link with hsc and i have no idia about this programming language subject. so as a private versity, i think a teacher should sacrify his best for helping students.","1.87","78","negative"
"22013","he is a genius.but he need to improve his teaching ability.and he should encourage students.he shoukd change his way of teaching.","4.13","21","positive"
"22014","he is a good one. keep it up.keep smiling to the students.","5","12","positive"
"22015","he is a good teacher","3.67","5","positive"
"22016","he is agood teacher","5","4","positive"
"22017","not not bad","4.83","3","positive"
"22018","very good. have to be more frindly.","3.88","7","positive"
"22019","a good teacher in all respect. a perfect teacher for htis subjet","4.08","12","positive"
"22020","as a teacher he is the best teacher","5","8","positive"
"22021","favourite teacher of mine","5","4","positive"
"22022","he is a good teacher","4.38","5","positive"
"22023","he is a good teacher","5","5","positive"
"22024","he is a good teacher.","2.83","5","negative"
"22025","he is a good teacher.he explained every matter but i dont know that why i can not understand it","3.42","19","neutral"
"22026","he is a nice person .","4.58","6","positive"
"22027","he is nice.","5","3","positive"
"22028","excellent","5","1","positive"
"22029","he is a good teacher","4.96","5","positive"
"22030","he is a nice teacher.","3","5","neutral"
"22031","he is good teacher about this subject.","4.67","7","positive"
"22032","he is really a good teacher.","5","6","positive"
"22033","he is the best teacher in mine.he is also very helpfull.","5","11","positive"
"22034","nice","4.33","1","positive"
"22035","no coments","5","2","positive"
"22036","very good","5","2","positive"
"22037","a good teacher 4 good students but not that good 4 thouse who r weak","3.5","15","positive"
"22038","good","4.5","1","positive"
"22039","good","5","1","positive"
"22040","he is a good teacher","4.96","5","positive"
"22041","he is a good teacher","5","5","positive"
"22042","he is a very good and uderstandable teacher for us.","5","10","positive"
"22043","he is not a good teacher","3.46","6","neutral"
"22044","if someone realy want to know some thing about computer. then he/she must go to maksud sir.","4.62","17","positive"
"22045","very good teacher with speed","4.29","5","positive"
"22046","bad teacher","1.29","2","negative"
"22047","good","5","1","positive"
"22048","he is a very good teacher. he is very friendly & expart.","2.63","12","negative"
"22049","he is avery good teachar","4.42","5","positive"
"22050","he needs to speak slowly in the class. and he is a great teacher.","3.67","14","positive"
"22051","he should not be in aiub.","1","6","negative"
"22052","hf is a good teacher.","5","5","positive"
"22053","i think his teaching process is perfect.and i want to be teacher as like as him.","4.17","16","positive"
"22054","one of the finest teachers in aiub.","5","7","positive"
"22055","very well","5","2","positive"
"22056","good","5","1","positive"
"22057","he always try discourage us.he is not perfect one to teach pl.","1.25","12","negative"
"22058","he doesnt know how to teach. he cant keep an eyecontact with any of the students. all through the class he talks with only one student. he cannot explain properly. he doesnt care if a student understand anything or not and openly admits that he wont take care of anyone. he openly insults the families of the students and also tells and that the management of the aiub is not good. he thinks that the teachers of aiub give us undeserved marks, and that we are passing by fraudulent methods. he discourages students works. even if a student writes a program and it is right he does not accept the good works and tells demeaning things to them, this is seriously hampering the self confidence of the students. the students of this semister is openly suggesting the students of other sections not to take pl in any semister. although the subject is interesting we are hating the subject only for the teacher. he makes the class untolerable sometimes by continuously telling bad things.","1.42","173","negative"
"22059","he is a best teacher in aiub","5","7","positive"
"22060","he is a exelent teather","3.42","5","neutral"
"22061","he is a good teacher","5","5","positive"
"22062","he is a good teacher.though he is so strict minded in teaching and my grade is low i like him.","4.42","20","positive"
"22063","he is also a good teacher.","5","6","positive"
"22064","he is not a very good teacher","2.21","7","negative"
"22065","he is not only a teacher but also a gaurdian.","4.7","10","positive"
"22066","he needs to make the subject more easy to students.","2.38","10","negative"
"22067","in one word,he is a nice teacher.","4.79","7","positive"
"22068","no","4.92","1","positive"
"22069","a very good and practical minded teacher. makes student to be very practical in life.","4.58","15","positive"
"22070","ami ki jani","4.13","3","positive"
"22071","good teacher but he should give more bonus.","4.79","8","positive"
"22072","he is a genious teacher","5","5","positive"
"22073","he is a great teacher. i am very proud of being a student of him.","4.67","15","positive"
"22074","he is always confident about what he is teaching.","4.33","9","positive"
"22075","he teaches little and spends most of the time in abusing students.","3.5","12","positive"
"22076","ok","4.78","1","positive"
"22077","sometimes good sometimes not. remember, no one is parfect. but plz give us more markes. for our good gread. u've nothing to loos there.","4.13","24","positive"
"22078","very good","5","2","positive"
"22079","good","4.46","1","positive"
"22080","good","4.67","1","positive"
"22081","good and efficient","5","3","positive"
"22082","good teacher","5","2","positive"
"22083","he is a good man and also good teacher.","4.79","9","positive"
"22084","he is a good teacher he should try to speak louder and make sure that students r getting his points clear,and they r listening to him,maintain eye contract,sometimes it seems like that he is speaking to himself not to the students which is not desiarable","4.42","45","positive"
"22085","he is a good teacher,he is very friendly with us","5","10","positive"
"22086","he is a good teacher.","3.84","5","positive"
"22087","he is a very good teacher . friendly with the students and also tries to stay closer to them . his explanations are strong . proves strong deapth knowledge in c++ .","5","32","positive"
"22088","he is a very good teacher.he is very help full to students.","2.63","12","negative"
"22089","he is a very helpful teacher.he always helps the students to realize the subject properly.","4.67","15","positive"
"22090","he is boss teacher","5","4","positive"
"22091","he is good","5","3","positive"
"22092","he is good but it will be better if he gives us the quiz marks before the term so that we can evaluate ourselves.","5","24","positive"
